index,max_depth,size,type_vid
90,6.26491253124453,6.329720905522696,Squat - A
91,6.162625125985908,6.432940092739179,Squat - A
92,5.401224473752948,6.363028103540465,Squat - A
93,5.1874482029643705,6.289715570908998,Squat - A
94,5.460670831307472,6.949856455000773,Squat - A
95,6.4588404058030155,6.62273632394984,Squat - A
96,6.417795145367378,6.729824070489475,Squat - A
97,5.9519497416415295,6.230481447578482,Squat - A
98,5.859807182133927,6.089044875446846,Squat - A
99,6.525577571196676,6.910750787961936,Squat - C
100,6.575231438348091,6.93537044601511,Squat - C
101,6.518486575704256,6.741700694652055,Squat - C
102,6.265341012437315,6.736966958001855,Squat - C
103,5.581946283659483,6.621405651764134,Squat - C
104,6.983514562054905,7.254177846456518,Squat - C
105,6.862979428255879,7.133295954896068,Squat - C
106,6.402237504079247,6.839476438228843,Squat - A
107,6.8183671228356735,6.70073110954781,Squat - A
108,6.776420551162974,6.437751649736401,Squat - A
109,6.474999263763068,6.437751649736401,Squat - A
110,6.557190778590896,6.021023349349527,Squat - A
111,6.380876088812589,6.535241271013659,Squat - B
112,5.92635685360588,6.333279628139691,Squat - A
113,6.498073468359635,6.214608098422191,Squat - A
114,6.649475082776408,5.932245187448011,Squat - A
115,6.5217953870763035,6.045005314036012,Squat - A
116,6.194505346747493,5.726847747587197,Squat - A
117,6.510136535271067,5.659482215759621,Squat - A
118,7.275580968604261,6.3561076606958915,Squat - B
119,6.316231978458508,6.016157159698354,Squat - B
120,7.24657000212062,6.133398042996649,Squat - B
121,6.57181284583793,6.040254711277414,Squat - A
122,6.664046091153551,5.817111159963204,Squat - A
123,6.727491954137335,6.220590170099739,Squat - B
124,6.872797745823014,7.046647277848756,Squat - C
125,6.2868314396776865,5.937536205082426,Squat - A
126,5.81590953527167,5.017279836814924,Squat - A
127,5.182114816876389,4.653960350157523,Squat - A
128,5.11265867421979,5.10594547390058,Squat - A
129,6.273954559989725,5.817111159963204,Squat - A
130,5.432155919101662,5.5093883366279774,Squat - A
131,5.624252034365145,5.961005339623274,Squat - A
132,5.326743784981646,5.560681631015528,Squat - A
133,5.480395834004065,5.093750200806762,Squat - A
134,5.599052569764254,5.717027701406222,Squat - A
135,6.929301332873061,6.18826412308259,Squat - A
136,5.9597316784312175,5.564520407322694,Squat - A
137,6.226876345815324,5.958424693029782,Squat - A
138,6.547434432020937,6.761572768804055,Squat - A
139,6.510827113590408,5.983936280687191,Squat - A
140,6.58181022471014,6.09807428216624,Squat - A
141,6.26905501476611,6.163314804034641,Squat - A
142,6.531285483595899,6.102558594613569,Squat - A
143,6.644637587449195,5.834810737062605,Squat - A
